,target,location,aircraft_damage,make,model,number_of_engines,engine_type,weather_conditions,phase_of_flight,Year,Month,Day,injuries,pax_onboard,fatality_percentage,survived,amateur_built
24998,Non-Fatal,8225,2,500,313,1.0,0,2,5,1983,7,4,0.0,1.0,0.0,1,0
24999,Non-Fatal,11726,0,500,133,1.0,0,2,9,1987,6,13,2.0,2.0,0.0,2,0
25000,Fatal,5489,0,500,137,1.0,0,2,11,1990,8,6,2.0,2.0,100.0,0,0
25001,Non-Fatal,11327,2,500,300,1.0,0,2,3,1982,7,1,0.0,4.0,0.0,4,0
25002,Non-Fatal,2357,2,500,139,1.0,0,2,5,1990,8,6,0.0,1.0,0.0,1,0
25003,Non-Fatal,3922,2,500,139,1.0,0,2,5,1984,12,29,0.0,1.0,0.0,1,0
25004,Non-Fatal,8058,0,500,115,1.0,0,2,4,1983,7,3,2.0,2.0,0.0,2,0
25005,Fatal,5678,0,500,6150,1.0,0,2,6,1987,6,14,5.0,5.0,20.0,4,0
25006,Non-Fatal,12253,2,500,440,1.0,0,2,5,1990,8,5,5.0,5.0,0.0,5,0
25007,Non-Fatal,11406,2,500,2394,1.0,0,2,3,1990,8,5,0.0,4.0,0.0,4,0
25008,Non-Fatal,13766,2,500,177,1.0,0,2,5,1987,6,14,0.0,1.0,0.0,1,0
25009,Non-Fatal,5324,0,500,137,1.0,0,2,9,1982,6,30,2.0,2.0,0.0,2,0
25010,Fatal,5709,0,500,1402,1.0,0,1,2,1990,8,5,1.0,1.0,100.0,0,0
25011,Non-Fatal,9064,2,500,1406,1.0,0,2,6,1987,6,13,0.0,1.0,0.0,1,0
25012,Non-Fatal,2093,2,500,133,1.0,0,2,0,1986,1,8,0.0,2.0,0.0,2,0
25013,Non-Fatal,3863,2,500,205,1.0,0,2,0,1984,12,27,0.0,1.0,0.0,1,0
25014,Non-Fatal,11089,2,500,313,1.0,0,2,1,1982,6,29,0.0,1.0,0.0,1,0
25015,Non-Fatal,7508,2,500,177,1.0,0,2,2,1982,6,29,0.0,4.0,0.0,4,0
25016,Non-Fatal,10925,2,500,212,1.0,0,2,0,1986,1,10,1.0,1.0,0.0,1,0
25017,Non-Fatal,678,2,500,1407,1.0,0,2,5,1983,12,12,0.0,2.0,0.0,2,0
25018,Non-Fatal,13726,0,500,6070,1.0,0,2,6,1987,6,13,1.0,1.0,0.0,1,0
25019,Non-Fatal,1210,2,500,638,2.0,0,2,5,1982,6,29,0.0,1.0,0.0,1,0
25020,Non-Fatal,10878,2,500,327,1.0,0,2,5,1990,8,7,1.0,1.0,0.0,1,0
25021,Non-Fatal,10979,1,500,744,2.0,0,2,2,1984,12,29,0.0,1.0,0.0,1,0
25022,Fatal,4730,0,500,212,1.0,0,2,9,1986,1,8,3.0,3.0,100.0,0,0
25023,Fatal,1057,0,500,297,1.0,0,0,1,1984,12,28,5.0,5.0,100.0,0,0
25024,Non-Fatal,9398,2,500,674,2.0,0,2,2,1983,7,4,0.0,2.0,0.0,2,0
